time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.36,-19.77522194,19.99999763,3,1.69594277,0,1E-08,9.8712566,1E-08,-6E-08,29.31458986,3E-08,-1.4E-07,-87.58717012,-2.1E-07,9.5E-07,0.92328288,0,0.38412072,0,0,1.48669303,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,-19.73929034,19.99999763,3,1.89911085,0,1E-08,10.4393981,1E-08,-7E-08,27.46897498,3E-08,-1.2E-07,-96.76348795,-2.2E-07,1E-06,0.91782285,0,0.39699021,0,0,1.31504184,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,-19.69918428,19.99999763,3,2.11326082,0,1E-08,10.96887561,2E-08,-7E-08,25.45233054,2E-08,-1E-07,-104.69777571,-2.3E-07,1.05E-06,0.91286203,0,0.40826819,0,0,1.15490967,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,-19.65469206,19.99999763,3,2.33758684,0,1E-08,11.45651388,2E-08,-7E-08,23.28903813,2E-08,-8E-08,-111.43593661,-2.4E-07,1.08E-06,0.90840907,0,0.41808247,0,0,1.00608286,0,0,0,0,0,0,0,0,0,0,0,0,0
0.44,-19.60561872,19.99999763,3,2.57122437,0,1E-08,11.89961611,2E-08,-7E-08,21.00256124,1E-08,-6E-08,-117.02387388,-2.4E-07,1.1E-06,0.90446276,0,0.4265526,0,0,0.86791976,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,-19.55178709,19.99999763,3,2.81325957,0,1E-08,12.2959456,2E-08,-7E-08,18.61544531,1E-08,-4E-08,-121.50749074,-2.4E-07,1.11E-06,0.90101534,0,0.43378722,0,0,0.73952793,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,-19.4930387,19.99999763,3,3.06273832,0,1E-08,12.64370738,2E-08,-7E-08,16.14931772,0,-1E-08,-124.93269042,-2.4E-07,1.11E-06,0.89805511,0,0.43988296,0,0,0.61988693,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,-19.4292345,19.99999763,3,3.31867485,0,0,12.94152983,2E-08,-7E-08,13.62488778,0,1E-08,-127.34537614,-2.4E-07,1.1E-06,0.89556826,0,0.44492415,0,0,0.50792956,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52,-19.36025538,19.99999763,3,3.58006005,0,0,13.18844636,2E-08,-7E-08,11.06194675,-1E-08,3E-08,-128.79145111,-2.4E-07,1.08E-06,0.89354026,0,0.44898308,0,0,0.40259306,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54,-19.2860026,19.99999763,3,3.84586938,0,0,13.38387699,2E-08,-7E-08,8.47936779,-1E-08,5E-08,-129.31681856,-2.3E-07,1.06E-06,0.8919568,0,0.45212064,0,0,0.30284932,0,0,0,0,0,0,0,0,0,0,0,0,0
